Word,Pinyin,Translation,Sentence,Sentence Pinyin,Sentence Translation
学生,xuésheng,student,学生们在上课。,Xuéshengmen zài shàngkè.,The students are in class.
因为,yīnwèi,"because, for, as",因为我病了，所以没去上学。,"Yīnwèi wǒ bìng le, suǒyǐ méi qù shàngxué.",I didn't go to school because I got sick.
这里,zhèlǐ,"here, over here",这里是医院。,Zhèlǐ shì yīyuàn.,This is a hospital.
这里,zhèlǐ,"here, over here",我一直在这里。,Wǒ yìzhí zài zhèlǐ.,I'll be here for a long time.
中文,zhōngwén,Chinese,我会说中文。,Wǒ huì shuō zhōngwén.,I can speak Chinese.
中文,zhōngwén,Chinese,中文很难学。,Zhōngwén hěn nán xué.,Chinese is very difficult.
怎么,zěnme,"how, how come, why",这是怎么回事？,Zhè shì zěnme huí shì?,What is this all about?
怎么,zěnme,"how, how come, why",她怎么了？,Tā zěnme le?,What happened to her?
为什么,wèishénme,why,那是为什么？,Nà shì wèishénme?,Why is that?
为什么,wèishénme,why,你为什么迟到？,Nǐ wèishénme chídào?,Why are you late?
吗,ma,question particle,她在吃饭吗？,Tā zài chīfàn ma?,Is she eating now?
吗,ma,question particle,请把书给我，好吗？,"Qǐng bǎ shū gěi wǒ, hǎo ma?",Could you give me this book?
太,tài,"extremely, very, too",今天太热了！,Jīntiān tài rè le!,It's so hot today!
太,tài,"extremely, very, too",汉语太难了。,Hànyǔ tài nán le.,Chinese is too difficult.
少,shǎo,"little, less, few; to lack, to lose",我吃得很少。,Wǒ chī de hěn shǎo.,I'm not a big eater.
少,shǎo,"little, less, few; to lack, to lose",今天的作业很少。,Jīntiān de zuòyè hěn shǎo.,There is little work today.
写,xiě,to write,他在写作业。,Tā zài xiě zuòyè.,He's doing his homework.
写,xiě,to write,我在写信。,Wǒ zài xiěxìn.,I'm writing a letter.
几,jǐ,"how many, some",房间里有几个人？,Fángjiān li yǒu jǐ gè rén?,How many people are there in the room?
几,jǐ,"how many, some",这里有几本书。,Zhèlǐ yǒu jǐ běn shū.,There are a few books here.
全,quán,"whole, full, entire",我们全家都喜欢看书。,Wǒmen quán jiā dōu xǐhuan kànshū.,Everyone in my family likes to read.
全,quán,"whole, full, entire",他们全走了。,Tāmen quán zǒu le.,They all left.
年,nián,"year, age, New year",去年我来过这里。,Qùnián wǒ láiguò zhèlǐ.,I came here last year.
年,nián,"year, age, New year",祝你新年快乐。,Zhù nǐ xīnnián kuàilè.,I wish you a Happy New Year.
最,zuì,most,他个子最高。,Tā gèzi zuì gāo.,He's the tallest.
最,zuì,most,我最喜欢看书。,Wǒ zuì xǐhuan kànshū.,I love reading books most.
本,běn,counter for books; this,我买了一本书。,Wǒ mǎile yì běn shū.,I bought a book.
本,běn,counter for books; this,他将参加本次会议。,Tā jiāng cānjiā běn cì huìyì.,He will attend this meeting.
都,dōu,"all, even, already",我们都喜欢游泳。,Wǒmen dōu xǐhuan yóuyǒng.,We all like swimming.
都,dōu,"all, even, already",他都十岁了。,Tā dōu shí suì le.,He's already ten years old.
次,cì,counter for times,我第一次坐飞机。,Wǒ dì yí cì zuò fēijī.,This is my first time in an airplane.
次,cì,counter for times,这是一次事故。,Zhè shì yí cì shìgù.,There was an accident.
跟,gēn,"and; to follow; with, to",我跟着他走。,Wǒ gēnzhe tā zǒu.,I followed him around.
跟,gēn,"and; to follow; with, to",他跟我一样高。,Tā gēn wǒ yíyàng gāo.,He's as tall as me.
先生,xiānsheng,"Mr., gentleman, sir",我认识那位先生。,Wǒ rènshi nà wèi xiānsheng.,I know that gentleman over there.
先生,xiānsheng,"Mr., gentleman, sir",那位先生很有礼貌。,Nà wèi xiānsheng hěn yǒu lǐmào.,That man is extremely polite.
老师,lǎoshī,teacher,我是英语老师。,Wǒ shì Yīngyǔ lǎoshī.,I'm an English teacher.
老师,lǎoshī,teacher,老师在办公室。,Lǎoshī zài bàngōngshì.,The teacher is in the office.
穿,chuān,"to wear, to put on",她穿着红大衣。,Tā chuānzhe hóng dàyī.,She's wearing a red overcoat.
穿,chuān,"to wear, to put on",他穿上了外套。,Tā chuānshangle wàitào.,He put on his overcoat.
衣服,yīfu,"clothing, clothes",这件衣服很大。,Zhè jiàn yīfu hěn dà.,These clothes are very big.
衣服,yīfu,"clothing, clothes",我买了一件衣服。,Wǒ mǎile yí jiàn yīfu.,I bought a piece of clothing.
没,méi,"to not have, to be without; not yet, never",这么做没问题。,Zhème zuò méi wèntí.,There are no problems doing it this way.
没,méi,"to not have, to be without; not yet, never",我还没吃饭。,Wǒ hái méi chīfàn.,I haven't eaten yet.
哪,nǎ,"which, what, whichever",在哪间教室上课？,Zài nǎ jiān jiàoshì shàngkè?,Which classroom are you in?
哪,nǎ,"which, what, whichever",你是哪里人？,Nǐ shì nǎlǐ rén?,Where are you from?
早,zǎo,"early, in advance",他起床起得很早。,Tā qǐchuáng qǐ de hěn zǎo.,He got up very early.
早,zǎo,"early, in advance",你要早点回家！,Nǐ yào zǎo diǎn huíjiā!,You have to go home early.
晚,wǎn,late,我来晚了。,Wǒ láiwǎn le.,I got here late.
晚,wǎn,late,时间很晚了，我们回家吧！,"Shíjiān hěn wǎn le, wǒmen huíjiā ba!","It's very late, so let's go home!"
冷,lěng,cold,天气很冷。,Tiānqì hěn lěng.,The weather is very cold.
冷,lěng,cold,今天比昨天冷。,Jīntiān bǐ zuótiān lěng.,Today is colder than yesterday.
走,zǒu,"to walk, to go, to leave",他走路上班。,Tā zǒulù shàngbān.,He commutes to work on foot.
走,zǒu,"to walk, to go, to leave",他明天要走了。,Tā míngtiān yào zǒu le.,He will leave tomorrow.
看,kàn,"to see, to watch",我看见他了。,Wǒ kànjiàn tā le.,I saw him.
看,kàn,"to see, to watch",我在看电视。,Wǒ zài kàn diànshì.,I'm watching television.
听,tīng,"to listen, to hear",她在听音乐。,Tā zài tīng yīnyuè.,She's listening to music.
听,tīng,"to listen, to hear",我听见你在唱歌。,Wǒ tīngjiàn nǐ zài chànggē.,I can hear you singing a song.
我们,wǒmen,We,我们都是学生。,Wǒmen dōu shì xuésheng.,We're all students.
我们,wǒmen,We,我们一起开会。,Wǒmen yìqǐ kāihuì.,We will have a meeting together.
字,zì,"character, word",他写字很快。,Tā xiě zì hěn kuài.,He writes very quickly.
字,zì,"character, word",我不认识这个字。,Wǒ bú rènshi zhège zì.,I don't know this character.
对,duì,correct; to face toward,你答对了。,Nǐ dáduì le.,You got the right answer.
对,duì,correct; to face toward,校门对着大街。,Xiàomén duìzhe dàjiē.,The school gate faces the street.
朋友,péngyou,friend,我们是好朋友。,Wǒmen shì hǎo péngyou.,We are good friends.
朋友,péngyou,friend,他是我的男朋友。,Tā shì wǒ de nánpéngyou.,He's my boyfriend.
城市,chéngshì,"city, town",这个城市很大。,Zhège chéngshì hěn dà.,This city is very large.
城市,chéngshì,"city, town",他住在城市里。,Tā zhù zài chéngshì li.,He lives in the city.
一,yī,"one, once",我买了一个包。,Wǒ mǎile yī gè bāo.,I bought a bag.
一,yī,"one, once",我见过他一次。,Wǒ jiànguò tā yī cì.,I saw him one time.
二,èr,two,他是二班的学生。,Tā shì èr bān de xuésheng.,He's a student in Class Two.
二,èr,two,我家在二楼。,Wǒ jiā zài èr lóu.,My home is on the second floor.
三,sān,three,我有三本书。,Wǒ yǒu sān běn shū.,I have three books.
三,sān,three,我下午三点上课。,Wǒ xiàwǔ sān diǎn shàngkè.,I have a lesson at 3:00 p.m.
四,sì,four,我们家有四个人。,Wǒmen jiā yǒu sì gè rén.,There are four people in my family.
四,sì,four,下午四点开会。,Xiàwǔ sì diǎn kāihuì.,There'll be a meeting at 4:00 p.m.
五,wǔ,five,那里有五个人。,Nàlǐ yǒu wǔ gè rén.,There are five people there.
五,wǔ,five,这是五元钱。,Zhè shì wǔ yuán qián.,This costs five yuan.
六,liù,six,那里有六个人。,Nàlǐ yǒu liù gè rén.,There are six people there.
六,liù,six,我们六点吃晚饭。,Wǒmen liù diǎn chī wǎnfàn.,We eat dinner at 6:00.
七,qī,seven,一个星期有七天。,Yí gè xīngqī yǒu qī tiān.,There are seven days in a week.
七,qī,seven,世界有七大洲。,Shìjiè yǒu qī dà zhōu.,The world has seven continents.
八,bā,eight,我八点起床。,Wǒ bā diǎn qǐchuáng.,I get up at 8:00.
八,bā,eight,现在八点钟。,Xiànzài bā diǎnzhōng.,It's now 8:00.
九,jiǔ,nine,飞机九点起飞。,Fēijī jiǔ diǎn qǐfēi.,The airplane departs at 9:00.
九,jiǔ,nine,房间里有九个人。,Fángjiān li yǒu jiǔ gè rén.,There are nine people in the room.
十,shí,ten,他今年十岁。,Tā jīnnián shí suì.,He will turn ten years old this year.
十,shí,ten,我工作了十年。,Wǒ gōngzuòle shí nián.,I have been working for ten years.
各,gè,"each, every, different",他们各自工作。,Tāmen gèzì gōngzuò.,Each of them is working.
各,gè,"each, every, different",我去过全国各地。,Wǒ qùguò quánguó gèdì.,I went to every part of the country.
美,měi,"beautiful, pretty, good",她长得真美。,Tā zhǎng de zhēn měi.,She's beautiful.
美,měi,"beautiful, pretty, good",这里的景色很美。,Zhèli de jǐngsè hěn měi.,The scenery here is beautiful.
作,zuò,"to do, to make",我在作功课。,Wǒ zài zuò gōngkè.,I'm doing my homework.
作,zuò,"to do, to make",他在给我作检查。,Tā zài gěi wǒ zuò jiǎnchá.,He examined me.
真,zhēn,"true; really, truly",这个故事是真的。,Zhège gùshì shì zhēn de.,This story is true.
真,zhēn,"true; really, truly",他真的来了。,Tā zhēnde lái le.,He really came.
事,shì,"matter, thing, work",你有什么事吗？,Nǐ yǒu shénme shì ma?,Is there anything I can do for you?
事,shì,"matter, thing, work",他在做什么事？,Tā zài zuò shénme shì?,What's he doing?
位,wèi,polite counter for people,那位是他的老师。,Nà wèi shì tā de lǎoshī.,That person is his teacher.
位,wèi,polite counter for people,来了一位客人。,Láile yí wèi kèren.,One guest has arrived.
上午,shàngwǔ,"morning, a.m.",今天上午考试。,Jīntiān shàngwǔ kǎoshì.,I'm taking a test this morning.
上午,shàngwǔ,"morning, a.m.",我上午不在家。,Wǒ shàngwǔ bú zài jiā.,I'm not home in the mornings.
这个,zhège,"this one, this",这个房间是我的。,Zhège fángjiān shì wǒ de.,This room is mine.
这个,zhège,"this one, this",我要这个。,Wǒ yào zhège.,I want this.
手,shǒu,hand,饭前要洗手。,Fàn qián yào xǐshǒu.,One needs to wash one's hands before meals.
手,shǒu,hand,他们握手告别。,Tāmen wòshǒu gàobié.,They shook hands and said goodbye.
学,xué,"to study, to learn",他在学中文。,Tā zài xué zhōngwén.,He's studying Chinese.
学,xué,"to study, to learn",她学会开车了。,Tā xuéhuì kāichē le.,She learned how to drive a car.
世界,shìjiè,world,这是世界地图。,Zhè shì shìjiè dìtú.,This is a map of the world.
世界,shìjiè,world,这是世界上最高的山。,Zhè shì shìjiè shang zuì gāo de shān.,This is the highest mountain in the world.
谢谢,xièxie,Thank you,谢谢你。,Xièxie nǐ.,Thank you.
谢谢,xièxie,Thank you,他要我谢谢你。,Tā yào wǒ xièxie nǐ.,He asked me to thank you.
左,zuǒ,left,请向左走。,Qǐng xiàng zuǒ zǒu.,Please walk to the left.
左,zuǒ,left,请往左拐。,Qǐng wǎng zuǒ guǎi.,Please turn left.
她,tā,she,她是我的同事。,Tā shì wǒ de tóngshì.,She's a coworker of mine.
她,tā,she,她喜欢画画儿。,Tā xǐhuan huàhuàr.,She likes to draw.
难,nán,"difficult, hard",这个数学题很难。,Zhège shùxuétí hěn nán.,This math problem is difficult.
难,nán,"difficult, hard",他很难伺候。,Tā hěn nán cìhòu.,He is difficult to take care of.
开始,kāishǐ,"to begin, to start; beginning",演出开始了。,Yǎnchū kāishǐ le.,The performance has started.
开始,kāishǐ,"to begin, to start; beginning",我们开始工作吧。,Wǒmen kāishǐ gōngzuò ba.,Let's get to work.
分钟,fēnzhōng,minute,十分钟后开会。,Shí fēnzhōng hòu kāihuì.,The meeting will start in 10 minutes.
分钟,fēnzhōng,minute,一小时有六十分钟。,Yì xiǎoshí yǒu liùshí fēnzhōng.,There are 60 minutes in an hour.
电视,diànshì,"television, TV",妈妈喜欢看电视。,Māma xǐhuan kàn diànshì.,My mother likes watching television.
电视,diànshì,"television, TV",这台电视坏了。,Zhè tái diànshì huài le.,This TV is broken.
时候,shíhou,"time, moment",现在是什么时候？,Xiànzài shì shénme shíhou?,What time is it now?
时候,shíhou,"time, moment",你什么时候下班？,Nǐ shénme shíhou xiàbān?,What time will you get off work?
服务,fúwù,to serve; service,他为社区服务。,Tā wèi shèqū fúwù.,He serves the community.
服务,fúwù,to serve; service,他们的服务很好。,Tāmen de fúwù hěn hǎo.,Their service is very good.
可是,kěshì,"but, yet, however",下雨了，可是我还是要出门。,"Xiàyǔ le, kěshì wǒ háishi yào chūmén.",Even though it's raining I still have to go out.
可是,kěshì,"but, yet, however",我参加了考试，可是没有及格。,"Wǒ cānjiāle kǎoshì, kěshì méiyǒu jígé.",I took the exam but didn't pass.
那个,nàge,"that, that one",那个房间是你的。,Nàge fángjiān shì nǐ de.,That room is yours.
那个,nàge,"that, that one",那个箱子破了。,Nàge xiāngzi pò le.,The trunk is broken.
些,xiē,some,我买了一些东西。,Wǒ mǎile yìxiē dōngxi.,I bought some things.
些,xiē,some,桌上有一些书。,Zhuō shang yǒu yìxiē shū.,There are several books on the desk.
参加,cānjiā,"to join, to attend, to take part in",我参加了比赛。,Wǒ cānjiāle bǐsài.,I took part in the competition.
参加,cānjiā,"to join, to attend, to take part in",他没有参加会议。,Tā méiyǒu cānjiā huìyì.,He hasn't attended the meeting.
生活,shēnghuó,life; to live,你的生活好吗？,Nǐ de shēnghuó hǎo ma?,Is life going well for you?
生活,shēnghuó,life; to live,我们生活在南方。,Wǒmen shēnghuó zài nánfāng.,We live in the south.
右,yòu,right,请向右看一下。,Qǐng xiàng yòu kàn yíxià.,Please look to your right.
右,yòu,right,请大家靠右走。,Qǐng dàjiā kào yòu zǒu.,Please walk on the right side.
老,lǎo,old,他看起来很老。,Tā kàn qǐlai hěn lǎo.,He looks very old.
老,lǎo,old,公园里有很多老年人。,Gōngyuán li yǒu hěn duō lǎoniánrén.,There are lots of elderly people in the park.
星期,xīngqī,"week, Sunday",今天星期几？,Jīntiān xīngqī jǐ?,what day of the week is it today?
星期,xīngqī,"week, Sunday",星期天我休息。,Xīngqītiān wǒ xiūxi.,I have Sunday's off.
国家,guójiā,"country, nation",这个国家很小。,Zhège guójiā hěn xiǎo.,This country is very small.
国家,guójiā,"country, nation",我去过那个国家。,Wǒ qùguò nàge guójiā.,I have been to that country.
重要,zhòngyào,"important, significant",考试成绩很重要。,Kǎoshì chéngjì hěn zhòngyào.,Test results are very important.
重要,zhòngyào,"important, significant",这件事情很重要。,Zhè jiàn shìqing hěn zhòngyào.,This matter is very important.
活动,huódòng,"to move about, to exercise; activity",让我们出去活动一下。,Ràng wǒmen chūqù huódòng yíxià.,Please let us go out to exercise.
活动,huódòng,"to move about, to exercise; activity",孩子们在这里活动。,Háizimen zài zhèlǐ huódòng.,Children are exercising here.
天,tiān,"sky, weather, day",天上有一朵白云。,Tiānshàng yǒu yì duǒ báiyún.,There's one white cloud in the sky.
天,tiān,"sky, weather, day",他今天会完成工作。,Tā jīntiān huì wánchéng gōngzuò.,He will finish the work today.
没有,méiyǒu,"to not have, there is no; haven't, didn't",他没有钱。,Tā méiyǒu qián.,He doesn't have any money.
没有,méiyǒu,"to not have, there is no; haven't, didn't",我没有吃午饭。,Wǒ méiyǒu chī wǔfàn.,I haven't eaten lunch.
这儿,zhèr,"here, now",这儿是哪里？,Zhèr shì nǎli?,Where are we?
这儿,zhèr,"here, now",他在这儿。,Tā zài zhèr.,He's here.
问,wèn,"to ask, to inquire",我可以问你一件事吗？,Wǒ kěyǐ wèn nǐ yí jiàn shì ma?,May I ask you a question?
问,wèn,"to ask, to inquire",请问，车站在哪里？,"Qǐngwèn, chēzhàn zài nǎli?",Can you please tell me where the station is?
热,rè,"hot, warm",房间里很热。,Fángjiān li hěn rè.,It's very hot inside the room.
热,rè,"hot, warm",今天比昨天热。,Jīntiān bǐ zuótiān rè.,It's hotter today than yesterday.
上,shàng,"above, on the top of; to go up, to go to",桌子上放着碗。,Zhuōzi shàng fàngzhe wǎn.,The bowl is on the table.
上,shàng,"above, on the top of; to go up, to go to",你上哪儿？,Nǐ shàng nǎr?,Where are you going?
前,qián,"front, ahead, ago, before",不要后悔，请向前看。,"Búyào hòuhuǐ, qǐng xiàng qián kàn.",Look forward with no regrets.
前,qián,"front, ahead, ago, before",奶奶两年前去世了。,Nǎinai liǎng nián qián qùshì le.,My grandmother died two years ago.
打,dǎ,"to hit, to beat, to play",我很喜欢打篮球。,Wǒ hěn xǐhuan dǎ lánqiú.,I love playing basketball.
